what,kind,bundleId,bundleVersion,description,time
closed,editor,tk.eclipse.plugin.htmleditor,2.1.0,"tk.eclipse.plugin.htmleditor.editors.HTMLEditor",1315150016965
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315150017116
closed,editor,tk.eclipse.plugin.htmleditor,2.1.0,"tk.eclipse.plugin.jseditor.editors.JavaScriptEditor",1315150017202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150022814
error,log,,,"Internal Error",1315150036039
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1315150036040
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150036070
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1315150036159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1315150036159
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1315150036219
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1315150047324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1315150050319
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315150054776
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1315150057690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150081811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150081875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150084829
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1315150084862
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1315150084862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150085183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150087274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150087343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150133004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150138155
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150146438
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1315150146516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1315150146516
error,log,,,"Launch configuration machistory references non-existing project machistory.",1315150158620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150158678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150160583
error,log,,,"Launch configuration machistory references non-existing project machistory.",1315150167029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150167050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150171269
error,log,,,"Launch configuration Test machistory references non-existing project machistory.",1315150179156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150179177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150181413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150190549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150220697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150223061
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150233635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150248491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150258150
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150258182
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150266479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150266699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150313437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150313948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150397012
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315150406535
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1315150408368
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1315150408413
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1315150408429
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1315150408450
